Name,Language,Stars,Forks,Owner,Created At
laravel-permission,PHP,12919,1823,spatie,2015-09-14T22:19:38Z
showdoc,PHP,12829,2221,star7th,2015-11-27T07:03:24Z
wallabag,PHP,12800,879,wallabag,2013-04-03T12:21:14Z
Laravel-Excel,PHP,12675,1979,SpartnerNL,2013-11-09T15:28:40Z
uuid,PHP,12623,524,ramsey,2012-07-05T23:24:53Z
clean-code-php,PHP,12455,2255,piotrplenik,2017-01-16T11:21:17Z
typecho,PHP,12384,2131,typecho,2013-07-17T05:08:35Z
phabricator,PHP,12305,1628,phacility,2011-01-21T22:08:29Z
Slim,PHP,12267,1967,slimphp,2010-09-21T01:17:06Z
magento2,PHP,12139,9372,magento,2011-11-30T15:30:13Z
dujiaoka,PHP,12089,2752,assimon,2018-04-17T05:45:39Z
YOURLS,PHP,12088,2071,YOURLS,2012-08-22T11:36:52Z
docker.labs,PHP,11905,5186,docker-archive-public,2016-04-20T23:52:34Z
voyager,PHP,11816,2660,thedevdojo,2016-10-27T03:56:49Z
EmailValidator,PHP,11641,228,egulias,2013-05-19T15:23:00Z
pest,PHP,11552,478,pestphp,2020-03-11T20:36:55Z
workerman,PHP,11551,2257,walkor,2013-12-08T07:49:28Z
jwt-auth,PHP,11484,1539,tymondesigns,2014-09-04T21:50:50Z
PHPExcel,PHP,11379,4124,PHPOffice,2012-06-18T15:30:27Z
inflector,PHP,11348,139,doctrine,2013-01-10T21:34:22Z
aureuserp,PHP,11221,484,aureuserp,2025-01-23T06:22:25Z
lexer,PHP,11157,62,doctrine,2013-01-12T18:58:26Z
laravel-admin,PHP,11153,2824,z-song,2015-12-30T10:42:57Z
dompdf,PHP,11146,1832,dompdf,2012-11-12T20:47:16Z
october,PHP,11140,2210,octobercms,2013-11-26T23:30:43Z
deployer,PHP,11080,1514,deployphp,2013-07-11T11:45:38Z
instantiator,PHP,11000,60,doctrine,2014-08-07T15:43:55Z
cphalcon,PHP,10829,1927,phalcon,2011-11-26T05:52:50Z
PHP_CodeSniffer,PHP,10772,1451,squizlabs,2011-11-03T04:06:24Z
webshell,PHP,10740,5584,tennc,2013-05-23T07:37:56Z
mockery,PHP,10724,465,mockery,2009-02-25T19:25:09Z
Mobile-Detect,PHP,10682,2624,serbanghita,2012-08-31T10:58:16Z
unopim,PHP,10443,150,unopim,2024-07-24T07:04:52Z
log,PHP,10441,189,php-fig,2012-11-30T09:49:24Z
easywechat,PHP,10375,2390,w7corp,2015-01-26T03:30:40Z
woocommerce,PHP,10365,10687,woocommerce,2011-08-09T15:12:11Z
SSPanel-UIM,PHP,10354,3445,Anankke,2018-01-05T13:51:16Z
rector,PHP,10347,740,rectorphp,2017-07-15T11:16:02Z
orm,PHP,10173,2535,doctrine,2010-04-06T21:42:59Z
leantime,PHP,10093,998,Leantime,2015-01-23T17:52:06Z
container,PHP,10014,53,php-fig,2016-08-15T18:35:30Z
Awsome-Front-End-learning-resource,PHP,10006,1893,helloqingfeng,2016-08-27T10:28:10Z
